SA2,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Total
Tiwi Islands,0,3,18,5,21,243,0,27,9,67,398
West Arnhem,8,6,29,16,25,339,3,117,46,218,801
Anindilyakwa,14,9,56,19,22,175,0,29,19,104,444
East Arnhem,9,14,38,23,54,517,8,262,39,252,1213
Nhulunbuy,30,24,109,63,69,121,0,6,14,92,524
Elsey,0,4,21,12,20,128,4,51,8,67,324
Gulf,8,3,27,14,40,222,3,90,19,167,589
Katherine,45,61,291,157,192,335,7,54,44,362,1542
Victoria River,9,0,19,13,25,96,0,62,15,109,349
Migratory - Offshore - Shipping (NT),0,0,0,0,0,0,0,0,0,4,4
No Usual Address (NT),21,12,65,23,29,56,0,21,19,170,420
Aranda,63,28,117,17,13,24,0,0,3,14,279
Belconnen,327,71,534,114,86,198,0,18,29,131,1497
Bruce,276,80,515,115,64,141,0,0,19,61,1261
Charnwood,36,14,91,65,96,134,0,3,15,35,496
Cook,97,38,166,30,28,34,0,7,3,19,419
Dunlop,92,67,314,176,166,321,0,17,29,53,1235
Evatt,81,41,249,76,103,150,0,10,9,54,781
Florey,98,33,208,64,72,129,0,12,19,35,669
Flynn (ACT),47,25,133,65,63,99,0,3,10,18,459
Fraser,15,11,73,39,34,65,0,3,5,9,254
Giralang,63,27,168,70,54,81,0,11,12,37,512
Gooromon,0,0,0,0,0,0,0,0,0,0,0
Hawker,52,30,135,38,23,48,0,4,11,19,354
Higgins,47,27,129,59,59,97,0,4,3,25,455
Holt,56,44,194,101,114,150,0,3,22,48,735
Kaleen,140,72,306,95,107,165,0,4,25,39,956
Latham,58,31,163,77,84,114,0,8,18,39,585
Lawson,5,0,4,4,7,0,0,0,0,4,24
Macgregor (ACT),146,68,394,191,201,284,0,12,23,46,1358
Macquarie,69,32,153,35,30,70,0,0,11,28,424
McKellar,30,11,119,30,33,65,0,4,10,17,321
Melba,48,30,139,51,38,91,0,5,23,20,440
Page,76,26,152,65,43,60,0,4,10,23,458
Scullin,65,29,151,43,46,78,0,11,13,33,461
Spence,31,18,107,51,38,95,0,5,7,17,381
Weetangera,48,27,114,30,21,30,0,0,7,6,284
Molonglo Corridor,0,0,0,0,0,0,0,0,0,0,0
West Belconnen,0,0,0,0,0,0,0,0,0,0,0
Hume,0,0,0,0,0,0,0,0,0,19,20
Kowen,0,0,0,3,0,0,0,0,0,0,6
Canberra East,0,0,9,8,14,14,0,4,4,16,74
Canberra Airport,0,0,8,3,3,3,0,0,0,0,20
Majura,0,0,5,0,3,3,0,0,0,3,16
Amaroo,93,62,287,121,111,167,0,4,32,31,919
Bonner,208,67,478,182,158,279,0,11,33,80,1493
Casey,152,76,407,216,159,296,3,3,39,69,1413
Crace,206,50,372,132,82,131,0,0,18,53,1050
Forde,126,40,310,102,69,139,0,0,17,35,843
Franklin,269,70,586,153,110,230,0,11,24,69,1512
Gungahlin,178,59,369,159,102,206,0,14,35,81,1211
Hall,0,0,8,0,0,11,0,0,0,0,26
Harrison,281,75,596,179,126,284,0,13,30,69,1641
Mitchell,0,0,0,0,0,0,0,0,0,0,0
Ngunnawal,202,102,574,257,247,445,5,16,37,119,2000
Nicholls,86,43,238,92,69,127,0,7,21,44,728
Palmerston,124,43,269,91,88,164,0,14,11,52,868
Gungahlin - East,0,0,0,0,0,0,0,0,0,0,0
Gungahlin - West,0,0,0,0,0,0,0,0,0,0,0
Jacka,31,3,62,18,10,36,0,0,3,4,175
Kenny,0,0,0,0,0,0,0,0,0,0,4
Moncrieff,3,0,9,4,0,0,0,0,0,5,25
Taylor,0,0,0,0,0,0,0,0,0,0,0
Throsby,0,0,0,0,0,0,0,0,0,0,0
Acton,90,0,86,4,0,18,0,0,0,8,205
Ainslie,163,63,276,46,44,73,0,7,7,34,714
Braddon,283,106,541,59,54,129,0,0,12,137,1328
Civic,171,50,271,23,11,64,0,0,7,79,668
Dickson,108,29,168,25,20,45,0,6,4,29,434
Downer,139,56,194,47,40,86,0,4,15,38,616
Hackett,103,31,157,33,11,43,0,0,3,17,398
Lyneham,228,67,358,54,52,88,0,5,7,87,942
O'Connor (ACT),207,58,321,35,33,83,4,8,11,55,815
Turner,276,60,319,34,32,74,0,5,10,86,882
Watson,242,83,421,89,60,140,0,12,22,61,1125
Black Mountain,0,0,0,0,0,0,0,0,0,0,0
Campbell,102,41,154,22,10,33,0,0,6,20,395
Duntroon,9,5,49,15,22,28,0,0,3,15,153
Parkes (ACT) - North,0,0,0,0,0,0,0,0,0,0,0
Reid,51,16,78,9,13,25,0,3,0,23,225
Russell,0,0,0,0,0,0,0,0,0,0,0
Deakin,64,32,133,32,7,25,0,0,5,8,303
Forrest,62,19,89,15,9,24,0,0,0,31,245
Griffith (ACT),167,59,325,41,37,60,0,0,12,59,762
Lake Burley Griffin,0,0,0,0,0,0,0,0,0,0,0
Narrabundah,159,62,318,72,62,104,0,11,14,79,888
Parkes (ACT) - South,0,0,0,0,0,0,0,0,0,0,0
Red Hill (ACT),62,25,141,17,14,40,0,4,5,29,334
Yarralumla,72,21,99,25,15,24,0,0,3,16,269
Barton,84,33,128,11,10,23,0,0,0,22,316
Fyshwick,0,0,0,0,0,0,0,0,0,0,3
Kingston (ACT),257,95,496,58,49,101,0,0,7,86,1150
Banks,23,35,165,115,152,268,0,11,16,55,841
Bonython,35,26,158,76,82,122,0,13,17,18,539
Calwell,40,26,190,127,129,194,0,8,19,46,775
Chisholm,43,21,136,98,121,202,0,6,22,32,682
Conder,22,33,153,85,95,207,0,7,19,32,654
Fadden,32,23,124,41,28,46,0,5,5,10,304
Gilmore,16,11,100,59,69,126,0,10,8,12,407
Gordon (ACT),49,37,241,165,157,304,0,13,31,34,1037
Gowrie (ACT),29,16,115,59,46,85,0,3,6,17,386
Greenway,49,9,129,35,26,47,0,3,3,27,340
Isabella Plains,33,32,175,94,89,179,0,3,14,43,666
Kambah,162,117,548,223,240,427,3,31,47,121,1929
Macarthur,13,7,61,27,31,23,0,0,4,8,166
Monash,51,34,185,105,80,150,0,5,19,37,667
Mount Taylor,0,0,0,0,0,0,0,0,0,0,0
Oxley (ACT),19,11,53,24,30,56,0,3,0,12,206
Richardson,22,12,96,57,86,142,0,10,17,26,468
Theodore,19,15,123,81,101,161,0,7,15,25,551
Tuggeranong,0,0,0,0,0,0,0,0,0,0,0
Wanniassa,95,54,268,132,131,221,0,11,34,49,991
Tuggeranong - West,0,0,0,0,0,0,0,0,0,0,0
Chapman,42,19,106,22,17,26,0,0,7,6,254
Duffy,59,35,138,53,37,79,0,0,10,24,439
Fisher,55,40,145,49,32,78,0,6,7,26,436
Holder,54,21,147,37,26,60,0,4,6,10,362
Rivett,63,48,162,47,35,86,0,0,13,27,477
Stirling,36,22,77,28,29,43,0,3,4,12,249
Waramanga,55,27,139,36,28,69,0,5,5,24,377
Weston,79,29,184,42,30,53,0,3,9,30,459
Scrivener,0,0,0,0,0,0,0,0,0,0,0
Chifley,58,24,154,47,31,48,0,3,3,22,402
Curtin,134,53,264,55,24,75,0,4,8,36,643
Farrer,59,25,133,51,36,45,0,3,4,9,361
Garran,100,32,189,34,17,41,0,0,7,31,451
Hughes,57,28,140,21,17,32,0,0,10,26,325
Isaacs,38,14,84,34,12,28,0,3,10,3,219
Lyons (ACT),78,26,160,46,40,75,0,7,13,40,493
Mawson,73,14,198,62,24,68,0,5,7,33,485
O'Malley,7,7,40,4,3,7,0,0,8,5,80
Pearce,46,15,129,24,17,51,0,0,5,12,295
Phillip,111,47,360,68,32,70,0,3,7,80,778
Torrens,42,16,98,23,24,51,0,7,5,7,266
Arboretum,0,0,0,0,0,0,0,0,0,0,0
Coombs,69,32,160,49,27,62,0,4,10,34,443
Denman Prospect,0,0,0,0,0,0,0,0,0,0,0
Molonglo,0,0,0,0,0,0,0,0,0,0,0
Molonglo - North,0,0,0,0,0,0,0,0,0,0,0
Wright,102,41,336,66,33,87,0,0,13,62,738
ACT - South West,11,3,25,18,21,17,0,0,0,10,99
Namadgi,0,0,0,0,0,4,0,0,0,4,10
Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0,0,0,0,0,0
No Usual Address (ACT),9,3,29,7,7,21,0,0,0,8,77
Christmas Island,9,8,39,29,28,58,0,5,7,26,208
Cocos (Keeling) Islands,0,4,10,12,11,24,0,0,0,5,72
Jervis Bay,5,0,8,7,6,11,0,0,3,15,56
Norfolk Island,3,9,35,31,27,72,0,0,9,16,189
Migratory - Offshore - Shipping (OT),0,0,0,0,0,0,0,0,0,0,0
No Usual Address (OT),0,0,0,3,0,0,0,0,0,0,8
Total,276076,107920,895940,395380,425995,767592,2722,64712,104800,257525,3298649
