SA2,Oceania and Antarctica,North-West Europe,Southern and Eastern Europe,North Africa and the Middle East,South-East Asia,North-East Asia,Southern and Central Asia,Americas,Sub-Saharan Africa,Supplementary codes,Not stated,Total
Moonah,525,19,7,21,29,13,61,12,16,0,54,755
New Norfolk,677,5,0,0,6,0,0,0,0,0,72,774
West Moonah,399,8,9,13,21,25,57,4,9,0,39,578
Kingston - Huntingfield,1252,47,11,4,52,67,31,25,25,0,66,1566
Kingston Beach - Blackmans Bay,993,53,8,3,25,25,14,19,13,0,51,1214
Margate - Snug,875,46,3,0,7,8,0,16,12,0,39,1010
Mount Wellington,0,0,0,0,0,0,0,0,0,0,0,0
Taroona - Bonnet Hill,272,25,11,0,10,6,4,5,0,0,14,351
Hobart,768,67,13,15,57,135,46,36,18,0,112,1253
Lenah Valley - Mount Stuart,936,38,15,9,25,28,25,11,16,3,71,1180
Mount Nelson - Dynnyrne,377,16,12,10,28,92,19,12,12,0,28,593
New Town,604,19,8,11,27,24,60,20,19,0,55,837
Sandy Bay,745,44,23,27,92,337,95,36,22,0,83,1515
South Hobart - Fern Tree,611,58,9,5,24,39,14,27,14,0,51,850
West Hobart,701,44,17,8,15,32,26,14,5,0,56,915
Dodges Ferry - Lewisham,765,23,4,0,3,0,0,8,10,0,71,884
Sorell - Richmond,876,18,0,0,16,14,4,11,6,0,72,1015
Invermay,311,11,3,0,15,0,17,3,0,0,33,394
Kings Meadows - Punchbowl,455,10,0,4,7,9,15,4,3,0,50,568
Launceston,451,26,7,8,25,21,30,8,10,0,55,637
Legana,377,14,0,0,9,3,0,9,12,0,16,446
Mowbray,301,5,0,6,33,24,55,0,11,0,37,479
Newnham - Mayfield,799,12,3,7,69,39,99,3,11,0,100,1148
Newstead,494,21,4,4,18,9,21,7,9,0,34,619
Norwood (Tas.),362,10,0,0,13,3,8,9,0,0,15,417
Prospect Vale - Blackstone,650,16,4,0,12,7,10,0,6,0,42,748
Ravenswood,381,0,0,0,5,0,0,5,0,0,55,447
Riverside,637,16,6,3,18,21,13,11,8,0,34,756
South Launceston,529,14,6,3,21,5,25,8,3,0,42,662
Summerhill - Prospect,524,3,0,0,22,4,11,3,0,0,37,617
Trevallyn,494,16,5,0,10,3,0,3,10,0,29,574
Waverley - St Leonards,406,10,0,0,7,10,0,3,0,0,32,463
West Launceston,476,11,3,0,13,10,12,8,8,0,24,568
Youngtown - Relbia,488,6,0,0,9,3,4,4,5,0,29,557
Beauty Point - Beaconsfield,256,8,0,0,3,0,0,0,0,0,26,301
Deloraine,493,7,0,0,10,7,0,9,3,0,53,586
Grindelwald - Lanena,454,15,0,0,12,4,0,10,3,0,46,545
Hadspen - Carrick,372,0,0,0,3,4,0,0,0,0,19,406
Westbury,342,9,0,0,4,8,0,3,5,0,33,399
Dilston - Lilydale,354,16,0,0,6,0,0,3,0,0,43,420
George Town,589,11,5,3,12,0,0,9,4,0,74,706
Longford,361,0,0,0,3,6,0,0,0,0,23,398
Northern Midlands,338,14,0,0,0,0,0,0,7,0,52,406
Perth - Evandale,486,7,3,0,4,0,0,3,4,0,57,563
St Helens - Scamander,418,12,0,0,12,6,0,5,0,0,38,499
Flinders and Cape Barren Islands,72,0,0,0,6,0,0,0,0,0,10,83
Scottsdale - Bridport,557,8,8,0,14,0,0,3,4,0,67,656
Central Highlands,178,4,0,0,0,0,0,0,0,0,9,200
Derwent Valley,278,8,4,0,0,0,0,4,0,0,35,322
Southern Midlands,553,9,0,0,5,0,0,0,0,0,62,634
Wilderness - East,0,0,0,0,0,0,0,0,0,0,0,5
Bruny Island - Kettering,200,17,0,0,7,7,0,9,0,0,25,255
Cygnet,320,33,0,0,0,12,0,3,4,0,40,411
Geeveston - Dover,265,10,3,0,17,14,0,0,0,0,44,345
Huonville - Franklin,804,43,7,0,11,11,0,7,5,0,82,977
Forestier - Tasman,152,9,0,0,7,0,0,0,0,0,17,185
Triabunna - Bicheno,287,22,0,0,13,10,3,0,5,0,36,374
Acton - Upper Burnie,346,3,4,0,10,0,0,0,0,0,30,402
Burnie - Ulverstone Region,451,13,5,0,8,0,0,0,0,0,45,516
Burnie - Wivenhoe,380,9,0,0,20,4,3,0,0,0,42,455
Parklands - Camdale,622,14,4,0,15,9,19,5,3,0,32,726
Penguin - Sulphur Creek,487,12,0,0,8,5,0,4,0,0,37,557
Romaine - Havenview,380,4,0,3,3,5,0,3,6,0,21,422
Somerset,382,10,0,0,0,0,0,0,0,0,27,421
Ulverstone,640,7,0,0,14,5,8,0,0,0,45,714
West Ulverstone,352,4,0,0,4,0,7,0,0,0,35,405
Wynyard,546,14,0,3,9,0,0,0,5,0,48,623
Devonport,1380,19,3,6,30,28,15,6,6,0,91,1584
East Devonport,442,0,0,0,17,11,0,4,0,0,34,509
Latrobe,473,3,3,3,4,0,4,4,3,0,45,538
Miandetta - Don,406,10,0,0,9,4,8,5,4,0,20,464
Port Sorell,450,21,0,0,6,3,0,0,3,0,33,522
Quoiba - Spreyton,295,3,0,0,7,7,3,0,0,0,17,338
Sheffield - Railton,530,13,3,0,11,3,4,4,5,0,53,629
Turners Beach - Forth,294,7,3,0,4,8,0,4,0,0,18,333
King Island,157,0,6,0,9,0,0,5,4,0,13,181
North West,374,10,3,0,0,3,0,3,0,0,50,442
Smithton,371,7,0,0,4,9,0,0,0,0,33,420
Waratah,320,4,0,0,0,0,0,0,3,0,26,360
West Coast (Tas.),419,3,4,0,7,3,0,6,6,0,47,497
Wilderness - West,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Tas.),3,0,0,0,0,0,0,0,0,0,0,3
No Usual Address (Tas.),96,6,0,0,4,9,0,0,0,0,7,120
Darwin Airport,0,0,0,0,0,0,0,0,0,0,0,3
Darwin City,490,176,34,13,129,234,112,26,15,0,233,1472
East Point,5,0,0,0,0,0,0,0,0,0,0,5
Fannie Bay - The Gardens,351,55,16,4,49,10,11,16,15,0,53,577
Larrakeyah,359,75,14,3,64,35,48,15,7,0,88,713
Ludmilla - The Narrows,277,24,0,5,41,8,13,5,8,0,39,420
Parap,288,49,14,10,55,39,19,14,4,0,62,562
Stuart Park,447,88,16,5,94,46,57,6,18,0,131,904
Woolner - Bayview - Winnellie,307,56,11,3,34,13,7,13,4,0,55,513
Alawa,179,12,14,4,45,12,33,4,11,0,42,352
Anula,223,16,12,0,40,5,8,3,5,0,34,350
Berrimah,90,3,8,0,16,3,3,0,4,0,24,161
Brinkin - Nakara,213,14,14,3,99,63,80,12,13,4,63,584
Buffalo Creek,0,0,0,0,0,0,0,0,0,0,0,0
Charles Darwin,0,0,0,0,0,0,0,0,0,0,0,0
Coconut Grove,254,21,3,5,93,22,96,5,8,0,74,595
East Arm,4,0,0,0,0,0,0,0,0,0,0,4
Jingili,159,18,6,0,34,7,11,0,7,0,23,261
Karama,438,13,22,3,151,16,30,0,18,0,99,790
Leanyer,401,35,15,3,106,18,47,5,15,0,58,708
Lyons (NT),570,56,21,0,95,32,112,10,25,0,55,973
Malak - Marrara,372,37,12,5,112,11,20,7,22,0,76,671
Millner,203,20,7,3,77,19,56,5,15,0,53,456
Moil,169,9,13,0,42,11,14,0,0,0,32,297
Nightcliff,363,60,11,14,77,23,89,10,25,0,85,755
Rapid Creek,348,34,13,4,46,5,89,14,13,0,82,648
Tiwi,213,18,7,7,50,8,57,4,13,0,33,410
Wagaman,137,9,15,6,66,29,35,0,9,0,42,345
Wanguri,159,13,3,0,33,10,10,3,9,0,30,271
Wulagi,230,18,8,3,46,21,12,0,13,0,41,389
Howard Springs,380,19,0,0,14,5,0,3,0,0,66,493
Humpty Doo,947,54,3,0,70,6,3,6,11,0,163,1268
Koolpinyah,3,0,0,0,0,0,0,0,0,0,0,3
Virginia,315,17,3,0,25,0,4,0,5,0,57,420
Weddell,424,18,0,0,38,5,5,5,8,0,91,590
Bakewell,404,23,0,0,62,12,24,3,18,0,40,586
Driver,316,8,7,0,58,8,20,0,7,0,48,480
Durack - Marlow Lagoon,532,36,12,0,63,16,38,9,12,0,66,783
Gray,327,10,7,0,84,10,19,7,8,0,82,542
Moulden,319,15,3,0,45,5,5,0,5,0,66,456
Palmerston - North,579,36,7,3,54,13,9,8,14,0,67,784
Palmerston - South,419,22,14,7,63,9,51,5,36,0,54,667
Rosebery - Bellamack,878,61,15,0,108,24,70,20,39,0,92,1314
Woodroffe,391,10,7,0,54,0,13,3,3,0,59,545
Charles,472,27,6,4,34,18,27,5,17,0,92,693
East Side,569,51,6,5,42,34,56,26,28,0,111,924
Flynn (NT),422,31,3,9,35,28,65,26,19,0,101,737
Larapinta,521,30,4,8,31,14,64,14,34,4,74,788
Mount Johns,357,24,9,4,74,25,69,55,22,0,113,749
Petermann - Simpson,280,13,6,0,20,28,18,13,7,0,75,456
Ross,210,15,3,5,10,5,6,0,4,0,38,288
Sandover - Plenty,490,6,0,0,0,0,0,0,0,0,31,528
Tanami,436,0,0,0,0,0,0,0,0,0,24,467
Yuendumu - Anmatjere,332,4,0,0,3,3,0,0,0,0,23,364
Barkly,359,7,0,0,4,0,4,0,0,0,15,380
Tennant Creek,325,14,7,0,21,13,16,0,10,0,57,446
Alligator,396,28,8,0,42,6,7,0,5,0,88,575
Daly,195,8,0,0,0,0,0,0,0,0,34,244
Thamarrurr,429,0,0,0,0,0,0,0,0,0,20,450
Tiwi Islands,380,0,0,0,6,0,0,0,0,0,6,398
West Arnhem,748,3,0,0,4,4,3,0,0,0,40,801
Anindilyakwa,381,4,0,0,6,0,10,8,6,0,26,444
East Arnhem,1171,9,0,0,3,0,0,11,0,0,22,1213
Nhulunbuy,374,16,3,3,24,0,13,4,9,0,84,524
Elsey,287,11,4,0,0,0,0,0,0,0,28,324
Gulf,548,4,0,0,5,6,3,0,0,0,27,589
Katherine,1018,41,3,6,82,22,51,12,5,0,302,1542
Victoria River,301,0,0,0,5,0,0,3,0,0,39,349
Migratory - Offshore - Shipping (NT),0,0,0,0,0,0,0,0,0,0,0,4
No Usual Address (NT),203,51,8,0,5,6,4,11,0,0,138,420
Aranda,193,15,3,0,15,22,11,6,6,0,4,279
Belconnen,603,33,22,41,175,234,196,41,29,4,109,1497
Bruce,603,30,24,32,136,192,121,36,17,6,59,1261
Charnwood,395,14,3,6,29,6,7,11,3,0,29,496
Cook,293,19,9,9,25,14,12,15,8,0,16,419
Dunlop,885,37,19,14,73,37,78,23,12,0,49,1235
Evatt,568,33,9,7,29,27,34,10,17,0,50,781
Florey,417,14,8,15,62,41,61,11,13,0,27,669
Flynn (ACT),380,11,5,6,19,8,8,9,7,0,14,459
Fraser,210,12,0,0,3,6,5,9,4,0,9,254
Giralang,393,14,8,3,22,23,13,10,3,0,25,512
Gooromon,0,0,0,0,0,0,0,0,0,0,0,0
Hawker,238,11,5,5,14,16,47,0,9,0,13,354
Higgins,335,13,5,3,34,13,14,15,6,0,16,455
Holt,556,9,11,11,28,23,43,12,8,0,36,735
Kaleen,631,27,18,12,53,79,68,18,14,0,39,956
Latham,450,14,7,5,23,20,13,8,15,0,35,585
Lawson,10,0,0,0,0,6,8,0,0,0,0,24
Macgregor (ACT),922,36,20,13,72,53,140,30,28,0,38,1358
Macquarie,257,11,10,5,29,35,39,13,4,0,25,424
McKellar,221,6,7,5,32,19,12,9,6,0,15,321
Melba,333,14,5,7,19,15,17,15,3,0,27,440
Page,270,11,4,13,41,32,43,9,12,0,23,458
Scullin,293,11,7,5,23,34,39,4,9,0,26,461
Spence,300,11,10,3,17,8,7,10,0,0,12,381
Weetangera,217,6,5,3,5,13,16,9,3,0,3,284
Molonglo Corridor,0,0,0,0,0,0,0,0,0,0,0,0
West Belconnen,0,0,0,0,0,0,0,0,0,0,0,0
Hume,15,0,0,0,0,0,0,0,0,0,0,20
Kowen,7,0,0,0,0,0,0,0,0,0,0,6
Canberra East,48,0,0,0,9,0,4,0,0,0,12,74
Canberra Airport,17,0,0,0,0,0,0,0,0,0,0,20
Majura,7,0,0,0,0,0,0,0,0,0,3,16
Amaroo,672,28,12,11,30,43,66,22,15,0,25,919
Bonner,704,44,29,33,113,86,335,25,60,0,64,1493
Casey,892,42,20,13,68,84,155,28,35,6,63,1413
Crace,522,33,16,9,53,144,174,24,25,6,42,1050
Forde,475,31,19,16,48,83,99,9,18,0,29,843
Franklin,617,29,28,30,128,275,276,38,32,5,65,1512
Gungahlin,528,26,21,34,94,213,162,21,40,0,78,1211
Hall,21,0,0,0,0,0,0,0,0,0,0,26
Harrison,792,31,20,28,108,247,285,37,34,0,60,1641
Mitchell,0,0,0,0,0,0,0,0,0,0,0,0
Ngunnawal,1328,47,28,24,107,96,191,37,45,0,96,2000
Nicholls,460,34,19,12,35,51,49,11,19,0,41,728
Palmerston,526,19,14,13,68,63,78,17,21,4,46,868
Gungahlin - East,0,0,0,0,0,0,0,0,0,0,0,0
Gungahlin - West,0,0,0,0,0,0,0,0,0,0,0,0
Jacka,79,3,4,0,9,15,52,5,3,0,3,175
Kenny,4,0,0,0,0,0,0,0,0,0,0,4
Moncrieff,10,0,0,0,0,0,9,0,0,0,4,25
Taylor,0,0,0,0,0,0,0,0,0,0,0,0
Throsby,0,0,0,0,0,0,0,0,0,0,0,0
Acton,29,3,7,9,53,65,20,10,9,0,8,205
Ainslie,534,35,16,8,26,17,15,26,3,0,30,714
Braddon,773,58,16,20,91,115,55,48,14,0,138,1328
Civic,283,31,18,14,54,130,32,32,5,0,74,668
Dickson,270,27,11,7,28,28,28,7,0,0,28,434
Downer,373,36,3,8,58,36,48,22,4,0,29,616
Hackett,290,14,8,0,11,12,13,11,9,0,23,398
Lyneham,539,36,18,10,69,66,81,25,6,0,85,942
O'Connor (ACT),548,47,15,6,41,32,42,27,4,0,43,815
Turner,479,35,19,18,69,85,60,29,11,0,85,882
Watson,728,58,21,7,59,39,87,33,15,0,70,1125
Black Mountain,0,0,0,0,0,0,0,0,0,0,0,0
Campbell,270,13,8,6,22,19,18,13,3,0,22,395
Duntroon,122,4,0,0,0,0,0,0,0,0,15,153
Parkes (ACT) - North,0,0,0,0,0,0,0,0,0,0,0,0
Reid,129,10,3,7,19,13,10,13,7,0,26,225
Russell,0,0,0,0,0,0,0,0,0,0,0,0
Deakin,215,13,6,0,11,12,17,11,4,0,11,303
Forrest,152,8,4,4,17,12,10,10,8,0,25,245
Griffith (ACT),491,28,18,18,37,38,40,17,7,0,61,762
Lake Burley Griffin,0,0,0,0,0,0,0,0,0,0,0,0
Narrabundah,589,31,12,23,33,40,51,24,17,0,71,888
Parkes (ACT) - South,0,0,0,0,0,0,0,0,0,0,0,0
Red Hill (ACT),193,13,10,11,22,14,30,8,8,0,24,334
Yarralumla,182,13,5,0,12,12,16,15,6,0,15,269
Barton,210,16,9,5,13,22,12,13,0,4,27,316
Fyshwick,3,0,0,0,0,0,0,0,0,0,0,3
Kingston (ACT),814,57,17,12,33,51,31,35,15,0,85,1150
Banks,672,23,15,12,31,8,29,14,6,0,39,841
Bonython,393,12,4,6,42,12,51,3,10,0,13,539
Calwell,604,17,10,10,28,8,30,12,14,0,39,775
Chisholm,546,16,8,6,22,7,24,10,9,0,31,682
Conder,525,13,12,7,29,8,16,3,4,0,33,654
Fadden,238,16,3,8,9,6,10,4,0,0,5,304
Gilmore,332,5,4,3,22,4,8,4,9,0,11,407
Gordon (ACT),818,12,8,12,42,13,62,11,15,0,37,1037
Gowrie (ACT),299,13,6,4,14,5,22,5,9,0,14,386
Greenway,151,5,0,5,31,16,108,4,3,0,20,340
Isabella Plains,487,20,8,3,32,19,45,9,9,0,37,666
Kambah,1488,55,29,18,65,41,69,28,21,0,106,1929
Macarthur,136,9,0,4,6,5,3,0,3,0,11,166
Monash,494,9,10,7,42,12,39,7,11,0,30,667
Mount Taylor,0,0,0,0,0,0,0,0,0,0,0,0
Oxley (ACT),146,9,3,4,11,5,7,4,5,0,9,206
Richardson,363,18,10,10,21,7,8,11,4,0,21,468
Theodore,442,17,10,4,21,8,20,7,8,0,24,551
Tuggeranong,0,0,0,0,0,0,0,0,0,0,0,0
Wanniassa,714,45,12,12,46,31,54,22,9,0,43,991
Tuggeranong - West,0,0,0,0,0,0,0,0,0,0,0,0
Chapman,200,11,5,0,7,4,5,0,4,0,7,254
Duffy,345,12,9,0,12,9,5,6,4,0,22,439
Fisher,321,16,6,0,19,15,10,7,5,0,26,436
Holder,271,16,0,9,18,11,17,6,7,0,11,362
Rivett,365,12,0,7,21,18,9,6,14,0,20,477
Stirling,188,6,6,0,10,10,10,3,4,0,13,249
Waramanga,285,11,5,7,16,13,10,5,7,0,18,377
Weston,326,15,8,4,19,12,23,11,7,0,23,459
Scrivener,0,0,0,0,0,0,0,0,0,0,0,0
Chifley,235,12,5,0,31,22,64,8,0,0,24,402
Curtin,444,16,8,4,37,17,50,20,6,0,34,643
Farrer,250,15,0,4,19,11,41,3,6,0,8,361
Garran,219,15,7,5,39,33,92,5,6,0,27,451
Hughes,205,11,0,7,16,15,25,11,3,0,23,325
Isaacs,118,5,8,7,21,13,25,4,8,0,4,219
Lyons (ACT),252,10,10,11,42,37,74,6,11,0,39,493
Mawson,235,13,5,13,38,27,102,8,13,0,29,485
O'Malley,42,0,0,0,6,0,6,3,0,0,5,80
Pearce,199,12,3,4,21,5,26,8,9,0,16,295
Phillip,276,13,15,13,89,61,203,11,24,0,65,778
Torrens,173,16,0,8,18,17,23,6,3,0,8,266
Arboretum,0,0,0,0,0,0,0,0,0,0,0,0
Coombs,212,12,11,14,48,29,75,3,4,0,34,443
Denman Prospect,0,0,0,0,0,0,0,0,0,0,0,0
Molonglo,0,0,0,0,0,0,0,0,0,0,0,0
Molonglo - North,0,0,0,0,0,0,0,0,0,0,0,0
Wright,444,28,10,11,42,38,80,16,8,0,64,738
ACT - South West,80,5,0,0,0,0,0,6,5,0,10,99
Namadgi,9,0,0,0,0,0,0,0,0,0,4,10
Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0,0,0,0,0,0,0
No Usual Address (ACT),55,3,0,0,8,4,0,0,0,0,5,77
Christmas Island,74,5,0,0,79,11,0,0,5,0,30,208
Cocos (Keeling) Islands,63,0,0,0,3,0,0,0,0,0,4,72
Jervis Bay,47,0,0,0,0,0,0,0,0,0,8,56
Norfolk Island,153,6,0,0,17,0,0,0,0,0,16,189
Migratory - Offshore - Shipping (OT),0,0,0,0,0,0,0,0,0,0,0,0
No Usual Address (OT),0,0,0,0,6,0,0,0,0,0,0,8
Total,2083102,142349,56807,65471,208229,196327,202455,60902,60125,2495,220383,3298649
