SA2,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Total
Braidwood,0,21,17,29,32,25,34,36,27,29,21,22,14,15,7,48,377
Karabar,6,42,23,46,59,59,78,135,122,117,127,91,52,82,4,67,1107
Queanbeyan,8,117,38,57,69,87,142,183,186,215,196,162,95,90,22,187,1855
Queanbeyan - East,3,71,20,19,31,26,64,79,66,74,80,74,36,57,7,49,768
Queanbeyan Region,0,119,42,76,61,55,75,136,176,228,270,251,137,245,63,207,2136
Queanbeyan West - Jerrabomberra,3,112,44,48,56,50,82,122,160,192,214,217,137,195,57,93,1780
Bombala,0,18,8,16,14,26,25,24,17,18,13,10,3,3,3,17,219
Cooma,0,23,29,54,44,57,89,104,87,60,37,26,17,17,11,60,720
Cooma Region,0,17,10,9,20,15,25,29,30,32,20,18,7,13,10,34,288
Jindabyne - Berridale,0,27,25,43,50,58,110,133,119,101,46,47,24,22,13,97,920
Batemans Bay,0,27,20,50,65,93,94,92,78,52,34,8,12,11,5,54,707
Batemans Bay - South,4,32,25,48,59,67,109,81,71,71,33,19,17,14,8,72,721
Bega - Tathra,0,43,32,70,57,72,115,107,76,69,53,30,24,23,0,67,849
Bega-Eden Hinterland,3,42,32,68,76,82,93,77,79,47,33,20,12,15,4,67,745
Broulee - Tomakin,0,9,10,16,22,21,20,30,30,32,15,18,3,5,3,19,269
Deua - Wadbilliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eden,0,10,9,28,37,38,36,45,26,19,9,10,5,3,0,24,308
Eurobodalla Hinterland,5,13,8,28,25,33,33,25,27,17,14,4,4,0,0,27,263
Merimbula - Tura Beach,0,39,31,56,51,92,133,117,85,90,47,45,20,19,3,64,889
Moruya - Tuross Head,0,27,21,50,52,65,79,94,74,55,48,19,17,5,6,54,678
Narooma - Bermagui,0,29,21,46,66,68,76,79,75,52,28,13,13,4,4,59,641
Goulburn,9,155,82,176,166,216,354,357,286,285,176,147,74,72,21,191,2773
Goulburn Region,5,69,46,84,82,104,140,136,123,113,77,54,36,37,14,109,1226
Yass,4,36,28,51,43,55,62,84,62,95,71,55,37,48,11,42,777
Yass Region,3,67,31,45,62,69,102,98,121,121,118,139,92,145,46,93,1348
Young,0,56,34,94,108,126,161,147,128,76,50,39,22,24,5,91,1169
Young Region,7,33,28,64,65,56,74,80,58,51,30,24,14,17,3,58,679
Avoca Beach - Copacabana,3,68,24,65,61,57,80,68,79,102,62,60,42,34,12,51,863
Box Head - MacMasters Beach,0,74,37,75,60,71,102,108,127,103,68,60,49,47,15,46,1048
Calga - Kulnura,5,35,16,33,34,30,58,56,47,41,19,23,13,13,3,47,471
Erina - Green Point,0,105,66,99,82,100,113,130,135,130,91,72,48,51,34,70,1317
Gosford - Springfield,3,198,101,160,171,173,252,262,312,269,193,151,98,89,31,197,2660
Kariong,3,71,44,53,56,56,69,104,95,80,63,50,23,23,12,42,827
Kincumber - Picketts Valley,0,44,23,51,47,51,75,88,91,79,49,38,25,16,15,36,729
Narara,0,72,27,45,57,55,89,95,94,93,65,36,26,25,5,36,833
Niagara Park - Lisarow,4,73,36,67,48,69,116,115,112,102,63,47,38,35,3,33,945
Point Clare - Koolewong,0,60,41,44,41,46,65,62,70,67,55,50,23,39,4,36,709
Saratoga - Davistown,3,50,27,53,31,54,90,94,81,74,53,53,39,36,9,42,790
Terrigal - North Avoca,6,127,55,90,70,85,149,160,186,165,147,98,75,89,38,91,1623
Umina - Booker Bay - Patonga,11,215,95,196,214,206,306,295,281,239,148,116,56,71,27,189,2671
Wamberal - Forresters Beach,0,79,35,64,61,71,113,125,114,136,81,83,60,58,23,67,1185
Woy Woy - Blackwall,5,108,68,115,118,132,166,146,160,130,114,63,43,45,14,101,1519
Wyoming,5,109,67,89,70,94,151,158,177,134,84,73,29,32,9,75,1354
Bateau Bay - Killarney Vale,9,151,79,174,201,232,318,327,303,244,182,120,90,63,17,154,2668
Blue Haven - San Remo,3,71,53,128,134,139,211,220,163,138,68,38,23,22,0,82,1486
Budgewoi - Buff Point - Halekulani,4,64,32,75,93,102,136,129,105,88,52,27,19,13,0,66,1008
Chittaway Bay - Tumbi Umbi,10,102,83,122,95,158,213,209,213,190,141,93,62,53,15,87,1843
Gorokan - Kanwal - Charmhaven,9,140,94,195,216,223,361,312,268,207,147,69,33,40,13,171,2491
Jilliby - Yarramalong,0,13,21,31,28,27,31,40,31,40,23,24,15,14,7,35,368
Lake Munmorah - Mannering Park,5,64,32,56,73,90,148,121,117,105,46,34,23,13,7,69,1008
Ourimbah - Fountaindale,0,51,24,46,24,40,51,66,82,67,68,23,12,15,8,18,600
Summerland Point - Gwandalan,0,34,15,50,55,61,86,78,74,47,39,24,4,13,0,28,626
The Entrance,6,92,43,117,121,167,225,198,212,158,90,83,45,44,10,148,1759
Toukley - Norah Head,0,49,36,74,84,101,145,134,85,91,58,28,29,16,8,65,1001
Tuggerah - Kangy Angy,0,61,33,46,44,58,81,84,83,73,51,25,21,28,6,47,731
Warnervale - Wadalba,3,162,75,154,133,143,234,262,241,237,153,115,75,61,11,92,2149
Wyong,4,82,33,82,97,90,132,146,110,91,35,44,25,14,7,77,1070
Bathurst,9,105,78,191,199,220,344,365,317,316,192,142,100,87,21,191,2873
Bathurst - East,0,55,32,111,102,96,152,178,148,140,112,71,63,66,11,72,1411
Bathurst Region,0,39,30,40,39,39,72,62,49,59,40,37,32,23,5,51,609
Oberon,0,18,23,34,39,33,51,55,47,34,25,18,9,3,0,47,427
Condobolin,7,39,23,71,61,66,86,86,67,51,33,30,19,19,0,99,756
Cowra,0,35,24,73,81,88,133,126,91,67,43,31,19,20,7,76,912
Cowra Region,0,26,13,38,31,44,66,68,44,35,22,18,14,9,5,48,489
Forbes,4,50,27,73,71,96,128,138,96,88,72,47,25,32,4,106,1066
Grenfell,0,6,8,28,30,45,40,31,29,33,10,21,6,9,4,31,328
Parkes (NSW),3,72,40,90,101,102,162,151,118,101,83,64,34,38,3,106,1275
Parkes Region,0,21,14,26,19,33,34,27,27,23,22,14,4,5,0,33,303
West Wyalong,3,46,19,48,37,60,77,60,58,49,31,28,10,23,9,71,624
Lithgow,4,80,53,119,137,137,188,153,144,89,72,32,15,25,7,125,1376
Lithgow Region,9,60,29,55,73,71,97,101,82,70,31,25,27,11,9,116,857
Mudgee,3,128,73,107,121,120,167,173,149,114,83,62,39,41,10,137,1533
Mudgee Region - East,0,26,10,36,31,43,36,24,15,24,8,7,7,10,0,36,299
Mudgee Region - West,3,108,64,89,87,99,114,114,91,49,25,47,16,23,4,136,1060
Wollangambe - Wollemi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blayney,0,56,33,67,55,78,87,95,74,83,45,41,29,21,12,68,847
Orange,3,113,65,178,163,156,278,254,253,241,162,119,59,71,21,191,2334
Orange - North,8,169,76,192,167,189,296,309,287,316,235,197,136,135,27,171,2918
Orange Region,4,81,45,69,84,97,123,141,109,131,90,71,33,54,18,94,1252
Grafton,4,70,57,157,172,228,265,267,236,166,99,53,51,43,17,166,2049
Grafton Region,4,71,55,143,149,145,183,167,93,86,50,34,20,22,5,144,1369
Maclean - Yamba - Iluka,3,81,39,108,130,122,199,156,121,94,53,50,25,23,13,100,1315
Bellingen,0,32,32,63,48,55,105,81,47,51,38,16,12,11,5,45,642
Coffs Harbour - North,13,95,56,157,144,194,256,261,240,183,121,71,56,38,14,176,2066
Coffs Harbour - South,6,61,23,85,82,115,145,136,138,95,68,58,31,29,6,94,1174
Coramba - Nana Glen - Bucca,6,28,8,38,31,33,48,54,45,25,15,24,11,10,3,39,428
Dorrigo,0,11,9,32,31,20,41,31,10,12,6,8,3,3,0,27,256
Korora - Emerald Beach,3,69,33,66,69,65,111,130,112,88,73,53,37,31,14,63,1019
Sawtell - Boambee,5,106,65,172,165,175,298,282,247,186,139,83,46,42,12,101,2125
Urunga,0,24,7,30,36,33,43,41,43,38,8,18,14,9,6,27,373
Woolgoolga - Arrawarra,12,90,33,99,111,138,205,154,166,94,77,47,27,31,6,125,1414
Bourke - Brewarrina,0,13,20,36,36,29,37,41,51,39,48,29,22,29,3,89,506
Cobar,8,70,25,53,38,42,64,53,54,63,33,28,16,22,5,70,635
Coonamble,0,9,11,40,29,37,57,54,39,28,27,15,6,14,3,77,458
Nyngan - Warren,0,30,13,37,40,50,61,49,60,44,41,21,12,11,7,68,539
Walgett - Lightning Ridge,6,36,29,71,66,61,77,66,59,56,45,29,15,19,9,110,753
Broken Hill,9,102,66,160,178,162,235,218,196,195,114,97,65,63,18,185,2045
Far West,0,28,3,26,20,38,28,25,21,22,16,11,5,3,3,62,300
Coonabarabran,0,29,30,68,71,63,108,73,59,44,43,15,26,12,12,80,747
Dubbo - East,7,56,37,83,86,108,163,163,156,135,86,71,50,30,12,119,1353
Dubbo - South,7,111,47,139,123,146,275,306,272,262,203,142,108,96,23,173,2421
Dubbo - West,3,61,31,58,80,71,126,136,145,125,91,76,45,52,7,120,1230
Dubbo Region,9,28,20,37,31,43,60,64,69,61,50,26,20,26,10,63,616
Gilgandra,0,23,12,34,36,40,51,68,55,28,30,18,11,7,6,42,454
Narromine,0,33,15,45,48,61,84,91,70,58,39,38,22,22,3,70,705
Wellington,0,23,30,70,62,62,100,89,73,68,38,32,29,12,3,152,862
Branxton - Greta - Pokolbin,0,141,47,98,91,115,155,149,147,113,87,57,34,54,20,107,1420
Cessnock,5,125,89,215,239,250,391,380,245,221,106,67,48,48,15,213,2656
Cessnock Region,0,62,34,75,73,65,97,95,81,88,56,29,19,28,10,110,919
Dungog,3,72,48,79,74,80,124,106,79,86,54,37,13,24,9,69,951
Kurri Kurri - Abermain,8,110,77,201,193,220,272,323,238,202,103,63,34,34,11,159,2240
Singleton,15,264,86,155,169,166,226,227,201,165,87,74,52,95,29,167,2184
Singleton Region,0,59,33,56,34,37,54,48,42,39,28,12,12,34,6,74,563
Maitland,8,70,38,46,62,65,115,119,137,105,57,44,24,33,11,79,1015
Maitland - East,23,264,154,234,242,269,396,410,409,380,243,177,113,103,30,201,3652
Maitland - North,0,60,32,67,58,48,78,118,94,94,82,65,41,50,15,56,964
Maitland - West,9,253,109,234,261,275,411,381,383,317,145,138,72,52,19,171,3223
Thornton - Millers Forest,4,75,56,99,103,108,169,161,179,164,110,59,47,30,5,46,1412
Anna Bay,4,32,32,50,35,56,69,61,65,57,24,18,5,9,6,28,539
Lemon Tree Passage - Tanilba Bay,0,48,30,54,67,61,79,84,61,49,29,16,7,10,0,52,631
Nelson Bay Peninsula,8,136,68,137,151,183,239,226,182,171,112,87,49,44,17,136,1942
Raymond Terrace,4,96,63,133,150,172,242,238,157,148,62,52,19,16,5,153,1701
Seaham - Woodville,5,36,25,41,38,31,47,76,75,36,32,29,18,28,4,35,555
Tea Gardens - Hawks Nest,0,28,12,27,28,32,37,24,28,15,9,9,8,6,3,23,288
Williamtown - Medowie - Karuah,7,125,79,103,104,143,188,184,183,166,116,77,42,43,13,145,1717
Muswellbrook,11,161,80,126,132,142,176,184,146,105,71,51,42,43,16,125,1615
Muswellbrook Region,0,35,25,23,37,38,48,62,47,44,16,18,14,15,3,43,476
Scone,0,58,25,54,47,51,75,102,76,73,41,28,34,23,14,66,764
Scone Region,5,81,35,75,77,74,95,106,113,82,37,35,16,24,8,118,992
Dapto - Avondale,9,197,109,214,232,236,374,351,331,274,160,119,54,54,11,118,2841
Horsley - Kembla Grange,5,85,49,71,72,108,152,155,158,138,100,84,30,36,8,40,1287
Port Kembla Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unanderra - Mount Kembla,7,109,67,128,119,146,202,205,200,183,163,104,61,63,28,104,1889
Berkeley - Lake Heights - Cringila,15,134,61,160,156,168,223,212,187,139,72,48,30,11,0,116,1730
Port Kembla - Warrawong,5,79,33,123,121,107,133,131,99,101,67,33,22,10,0,84,1160
Windang - Primbee,0,30,10,30,32,31,53,52,43,29,29,21,9,12,5,30,414
Illawarra Catchment Reserve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,4,152,94,129,131,141,243,220,234,196,121,88,66,40,3,90,1955
Albion Park Rail,0,35,30,60,72,80,136,130,98,82,46,24,13,3,3,52,860
Kiama,0,43,26,50,43,48,82,84,71,80,47,49,25,25,15,34,733
Kiama Downs - Minnamurra,3,50,17,39,37,43,59,73,66,60,60,42,28,27,7,37,643
Kiama Hinterland - Gerringong,0,49,33,44,40,51,80,68,82,74,62,43,37,31,16,63,776
Shellharbour - Flinders,6,190,87,127,149,138,227,250,246,240,174,128,79,102,23,104,2266
Shellharbour - Oak Flats,3,83,27,63,79,90,144,175,132,136,91,37,32,21,9,65,1195
Warilla,9,141,82,155,196,219,329,347,261,193,98,69,30,26,13,172,2335
Balgownie - Fairy Meadow,12,232,97,174,147,172,253,237,248,266,199,167,92,112,25,151,2575
Corrimal - Tarrawanna - Bellambi,4,109,62,138,117,161,221,236,216,216,137,107,67,66,21,99,1981
Figtree - Keiraville,7,274,76,159,133,187,257,233,271,272,217,164,110,124,32,121,2627
Helensburgh,4,84,52,47,64,82,112,115,123,113,102,86,61,67,19,55,1177
Thirroul - Austinmer - Coalcliff,9,104,41,73,72,80,106,125,132,153,119,106,74,108,48,68,1409
Woonona - Bulli - Russell Vale,8,169,111,146,135,171,243,238,253,286,216,173,102,140,46,158,2582
Wollongong - East,3,172,48,133,85,130,156,157,198,196,179,136,81,95,28,209,2016
Wollongong - West,13,249,71,182,176,138,194,241,207,254,171,130,78,101,31,114,2355
Bulahdelah - Stroud,3,29,20,36,41,40,65,52,41,20,15,6,12,4,4,36,426
Forster,4,59,29,103,89,127,158,197,130,82,62,37,28,25,5,92,1237
Forster-Tuncurry Region,0,30,13,45,62,61,79,60,37,38,18,17,8,9,4,39,523
Tuncurry,0,25,12,21,31,42,54,64,47,32,15,8,4,0,6,35,407
Kempsey,6,44,54,124,166,155,226,185,126,104,53,36,25,17,15,197,1537
Kempsey Region,0,39,33,79,74,90,124,84,86,65,33,17,13,12,7,80,820
Macksville - Scotts Head,0,25,19,46,34,36,67,61,50,26,13,14,9,7,4,36,444
Nambucca Heads,0,25,14,44,60,66,70,81,54,34,18,14,6,3,3,39,541
Nambucca Heads Region,3,31,29,74,66,74,109,73,67,49,29,15,12,16,10,47,700
South West Rocks,4,23,10,26,29,43,60,52,39,36,29,9,5,16,3,34,415
Lord Howe Island,0,3,6,6,3,3,0,4,11,3,0,0,0,0,0,10,56
Laurieton - Bonny Hills,9,82,53,98,100,122,176,139,149,95,80,52,37,24,7,87,1299
Port Macquarie - East,0,174,82,180,192,225,353,340,345,307,183,172,106,104,37,166,2971
Port Macquarie - West,0,81,52,119,116,163,211,248,192,156,143,90,54,28,9,127,1778
Port Macquarie Region,0,30,16,38,39,46,62,59,47,37,29,21,8,11,0,59,498
Wauchope,0,44,44,88,102,107,170,156,140,93,53,39,27,25,8,85,1171
Gloucester,4,25,15,40,48,55,62,50,31,28,7,7,0,7,0,39,425
Old Bar - Manning Point - Red Head,3,51,28,67,77,88,139,103,112,93,45,46,38,23,8,42,969
Taree,9,74,63,203,186,230,314,294,190,153,96,61,28,17,16,144,2077
Taree Region,6,49,31,108,103,97,121,129,81,52,35,27,21,16,5,92,976
Wingham,0,25,13,60,59,43,94,69,50,37,19,9,6,4,0,33,520
Albury - East,0,119,53,110,117,138,231,246,256,260,201,143,87,65,15,130,2168
Albury - North,5,62,25,86,96,114,150,144,157,94,76,55,35,23,7,124,1249
Albury - South,4,53,25,66,83,81,110,135,137,115,89,59,47,52,19,108,1178
Albury Region,0,61,52,86,94,72,132,137,135,107,66,65,44,25,6,101,1179
Lavington,8,96,70,146,156,188,246,204,212,140,74,42,19,23,6,155,1787
Hay,4,18,10,32,25,34,16,32,26,20,18,5,6,4,0,40,293
Wentworth - Buronga,0,36,21,63,37,42,77,70,64,52,32,22,18,8,7,76,631
Wentworth-Balranald Region,3,28,13,32,27,29,33,39,41,27,29,10,10,9,3,49,392
Corowa,0,25,20,50,43,39,70,50,56,56,20,15,11,9,0,28,478
Corowa Region,3,30,23,56,61,40,80,76,69,59,35,26,9,15,3,61,635
Deniliquin,0,38,26,50,38,79,102,102,93,64,40,43,23,20,14,67,803
Deniliquin Region,8,43,20,61,44,58,68,75,60,49,27,20,8,7,5,62,613
Moama,0,30,16,30,50,52,83,75,78,72,51,29,19,13,3,38,640
Tocumwal - Finley - Jerilderie,3,52,27,84,67,92,126,104,108,74,43,30,10,16,6,111,955
Armidale,10,197,87,176,171,226,322,318,259,262,188,136,98,77,16,226,2765
Armidale Region - North,3,24,22,48,34,37,58,74,48,39,23,16,3,10,0,45,484
Armidale Region - South,0,15,22,50,60,49,66,89,58,42,31,32,16,15,0,49,611
Walcha,6,15,21,22,27,27,33,34,25,18,12,9,6,7,5,35,307
Glen Innes,3,37,28,88,75,89,113,104,84,48,33,27,12,22,9,88,830
Inverell,3,47,32,107,121,125,166,199,150,91,60,46,23,22,3,93,1307
Inverell Region - East,5,21,28,68,46,42,86,58,30,28,11,11,5,8,6,60,510
Inverell Region - West,3,35,28,66,39,56,92,51,46,41,21,16,13,6,3,53,574
Tenterfield,0,36,26,58,62,65,71,69,58,32,15,16,9,16,3,62,596
Moree,7,47,29,65,76,78,116,130,120,96,75,58,28,28,13,151,1110
Moree Region,0,41,30,64,39,49,59,62,54,48,38,36,17,19,8,96,651
Narrabri,0,38,17,52,63,67,100,106,116,85,69,37,26,25,9,85,891
Narrabri Region,0,28,20,44,49,53,50,48,47,43,33,26,19,7,11,80,550
Gunnedah,6,86,38,84,84,88,151,118,113,104,65,52,42,28,14,87,1154
Gunnedah Region,7,26,24,34,32,33,51,49,32,28,13,16,11,15,5,39,421
Quirindi,0,61,35,80,79,61,91,104,76,55,30,19,21,12,11,75,812
Tamworth - East,5,122,44,154,176,186,308,361,302,237,183,104,65,63,19,194,2513
Tamworth - North,14,88,44,119,85,135,182,253,250,231,146,112,73,68,22,152,1969
Tamworth - West,6,21,13,57,71,83,95,111,100,59,28,11,10,13,5,87,763
Tamworth Region,3,95,74,139,160,128,223,248,229,190,121,102,65,61,17,157,2005
Belmont - Bennetts Green,4,105,59,127,139,166,214,236,230,220,128,95,57,54,22,84,1955
Belmont South - Blacksmiths,3,32,16,42,43,44,89,68,65,70,21,20,13,10,3,34,574
Charlestown - Dudley,9,164,74,171,192,224,367,362,397,414,284,203,128,130,39,164,3322
Glendale - Cardiff - Hillsborough,9,170,99,190,175,245,348,373,379,387,238,173,100,107,28,129,3154
Mount Hutton - Windale,9,38,38,92,101,106,128,149,113,91,52,40,27,20,4,76,1079
Redhead,0,32,15,13,22,17,25,36,29,45,20,15,18,17,8,16,332
Swansea - Caves Beach,4,76,52,81,73,86,141,117,96,108,71,70,26,38,14,45,1102
Valentine - Eleebana,0,89,48,73,68,66,116,127,124,149,100,90,58,49,28,22,1207
Warners Bay - Boolaroo,0,88,41,93,107,113,151,190,162,177,96,102,70,44,20,75,1534
Bolton Point - Teralba,0,48,33,86,76,85,124,123,95,84,50,34,24,16,4,53,929
Bonnells Bay - Silverwater,3,56,29,57,67,82,125,126,113,104,64,48,15,15,5,33,954
Edgeworth - Cameron Park,4,156,62,140,140,165,255,250,260,282,158,114,57,60,17,96,2206
Morisset - Cooranbong,3,98,65,124,112,146,196,160,138,138,84,80,28,34,4,89,1486
Toronto - Awaba,0,71,44,112,116,111,171,161,135,170,75,74,35,28,20,72,1390
Wangi Wangi - Rathmines,0,70,35,71,67,69,107,114,117,101,58,41,25,21,4,38,946
West Wallsend - Barnsley - Killingworth,0,57,30,56,68,80,125,123,111,82,50,30,16,16,0,43,885
Adamstown - Kotara,5,118,63,118,106,140,200,219,250,278,195,164,106,107,33,58,2150
Beresfield - Hexham,3,52,33,87,100,85,124,157,136,82,50,27,11,16,3,70,1035
Hamilton - Broadmeadow,7,83,44,74,104,104,124,140,171,180,138,117,65,87,54,96,1590
Lambton - New Lambton,7,131,64,103,113,158,183,216,238,286,200,165,104,127,44,122,2246
Maryland - Fletcher - Minmi,8,164,56,93,119,159,243,196,249,265,174,114,77,64,20,86,2085
Mayfield - Warabrook,0,146,60,139,153,172,240,247,266,291,217,136,90,77,3,120,2356
Merewether - The Junction,8,71,42,70,79,99,133,147,208,234,205,153,103,141,73,85,1834
Newcastle - Cooks Hill,4,80,32,78,71,73,133,118,139,233,195,174,99,134,56,147,1765
Newcastle Port - Kooragang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Shortland - Jesmond,6,158,44,141,127,120,166,145,108,142,71,52,22,12,0,75,1406
Stockton - Fullerton Cove,0,53,13,44,31,46,79,73,73,80,68,43,27,42,4,59,740
Wallsend - Elermore Vale,7,181,83,172,151,180,256,302,312,270,205,146,69,64,21,116,2537
Waratah - North Lambton,3,106,44,117,101,122,156,165,187,219,151,93,68,58,11,79,1686
Wickham - Carrington - Tighes Hill,3,56,32,78,87,81,129,155,150,181,136,114,79,80,7,82,1460
Ballina,3,65,52,113,111,154,225,217,176,157,94,64,42,41,13,132,1654
Ballina Region,3,101,59,125,136,147,195,202,162,158,88,82,50,42,20,127,1700
Bangalow,0,34,24,48,51,56,81,81,56,55,48,34,10,21,15,84,702
Brunswick Heads - Ocean Shores,3,69,43,81,76,112,146,126,82,87,53,33,20,10,11,106,1047
Byron Bay,4,56,34,85,107,135,171,168,163,140,70,43,32,35,22,249,1510
Evans Head,0,20,11,37,41,47,77,60,56,33,20,14,13,11,0,53,501
Lennox Head - Skennars Head,0,45,33,59,74,66,109,105,86,97,76,68,24,22,21,57,948
Mullumbimby,4,46,38,90,83,87,112,84,80,67,20,26,14,13,8,116,892
Casino,5,55,39,93,119,144,158,201,158,86,61,26,17,14,5,98,1288
Casino Region,6,35,26,59,58,61,88,71,52,33,24,21,9,15,6,68,628
Goonellabah,8,75,37,101,99,153,196,221,213,148,79,64,28,39,8,123,1594
Kyogle,5,40,25,54,68,70,91,71,61,37,15,15,13,5,3,60,640
Lismore,6,64,50,145,163,207,280,236,183,155,92,58,30,20,9,168,1862
Lismore Region,7,68,59,129,136,140,209,170,155,132,77,58,39,45,16,176,1614
Kingscliff - Fingal Head,3,95,45,102,84,107,184,150,161,145,108,86,44,55,28,119,1528
Murwillumbah,5,46,36,92,86,90,148,118,95,72,46,22,16,6,5,57,941
Murwillumbah Region,0,61,39,91,94,84,120,101,88,74,30,31,18,9,7,101,945
Pottsville,3,115,70,124,114,151,199,158,155,163,70,70,27,41,5,102,1574
Tweed Heads,6,124,46,147,147,172,268,259,236,182,98,82,44,29,16,193,2038
Banora Point,3,82,49,114,108,137,200,204,199,159,92,57,43,25,8,74,1553
Terranora - North Tumblegum,0,21,17,28,30,26,42,24,37,40,31,23,13,10,0,22,359
Tweed Heads South,0,39,25,58,79,65,94,93,81,61,32,19,13,4,0,54,732
Griffith (NSW),13,155,78,152,158,183,317,355,297,205,158,92,59,63,20,264,2565
Griffith Region,0,87,51,100,125,125,170,183,158,121,69,43,33,32,17,172,1492
Leeton,7,67,40,64,93,73,134,143,127,96,61,44,24,23,7,90,1087
Narrandera,0,33,16,40,56,56,86,87,44,47,36,18,11,10,3,74,625
Tumbarumba,0,21,32,34,22,29,41,39,29,21,8,10,4,3,0,35,319
Tumut,4,49,30,64,57,50,84,84,75,56,32,24,13,7,0,65,691
Tumut Region,0,34,16,36,36,45,74,47,46,42,21,16,13,12,6,44,485
Cootamundra,0,23,30,63,57,73,98,93,78,54,39,25,15,16,13,60,743
Gundagai,0,21,17,39,26,31,51,43,38,32,15,15,4,11,0,39,380
Junee,0,22,13,43,46,47,68,96,60,51,40,27,13,10,7,54,592
Temora,0,36,17,62,49,54,78,80,68,49,31,26,16,9,12,46,648
Wagga Wagga - East,6,95,54,109,113,139,254,248,248,251,138,131,90,81,27,118,2114
Wagga Wagga - North,0,39,19,38,36,37,61,47,79,58,54,47,21,22,6,27,602
Wagga Wagga - South,5,136,81,171,179,196,315,337,323,306,238,172,120,99,25,159,2874
Wagga Wagga - West,3,87,32,114,88,119,173,190,182,169,140,86,44,59,19,127,1651
Wagga Wagga Region,5,84,55,113,120,106,190,195,191,183,107,64,57,40,23,142,1672
Berry - Kangaroo Valley,0,51,25,54,39,54,76,75,59,71,40,48,27,29,17,54,735
Callala Bay - Currarong,4,20,11,27,19,30,41,43,37,12,19,13,4,3,6,19,297
Culburra Beach,0,29,15,33,34,41,50,62,43,37,14,13,3,6,0,44,424
Ettrema - Sassafras - Budawang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Huskisson - Vincentia,0,36,9,27,34,25,39,50,30,49,35,29,11,26,11,32,438
North Nowra - Bomaderry,5,92,49,150,129,148,210,203,165,156,109,80,51,38,11,105,1698
Nowra,5,124,88,194,217,239,310,290,241,193,122,83,43,44,12,218,2411
St Georges Basin - Erowal Bay,3,83,41,125,118,139,180,186,134,95,55,41,25,22,3,76,1322
Sussex Inlet - Berrara,3,9,6,25,28,28,43,51,28,20,10,4,4,9,0,20,280
Tomerong - Wandandian - Woollamia,0,21,12,38,23,35,49,31,28,28,17,9,15,10,0,28,333
Ulladulla,0,74,43,131,118,141,187,152,157,98,67,36,10,23,11,95,1349
Ulladulla Region,0,23,14,28,39,46,65,48,20,27,22,10,3,12,0,36,391
Bowral,4,94,34,48,63,54,107,111,97,91,67,51,32,49,22,65,1013
Hill Top - Colo Vale,5,58,25,70,48,66,102,89,67,80,41,24,21,10,9,50,758
Mittagong,0,62,40,61,57,69,106,104,106,70,43,41,33,27,14,72,918
Moss Vale - Berrima,0,82,33,78,59,93,130,138,136,100,63,39,31,23,5,100,1113
Robertson - Fitzroy Falls,0,22,20,23,30,19,22,30,42,32,24,29,4,11,9,28,346
Southern Highlands,4,41,18,29,40,38,62,62,58,48,31,23,25,13,12,35,550
Baulkham Hills (East),14,463,139,147,136,162,200,246,329,404,317,309,209,245,57,138,3517
Baulkham Hills (West) - Bella Vista,6,270,92,118,116,104,168,178,240,282,226,194,143,210,89,95,2539
Glenhaven,0,63,16,34,28,21,48,39,55,53,53,34,30,41,26,29,560
West Pennant Hills,4,160,49,58,44,39,63,89,124,170,121,132,77,136,81,45,1391
Castle Hill - Central,11,156,24,49,44,36,87,74,120,123,93,93,55,91,34,59,1153
Castle Hill - East,0,65,24,13,18,12,25,41,44,44,34,50,16,37,21,12,449
Castle Hill - North,3,193,49,72,56,54,92,87,131,128,108,104,59,101,46,46,1332
Castle Hill - South,4,170,45,73,50,57,67,91,101,150,111,101,76,100,42,54,1306
Castle Hill - West,0,91,23,29,24,27,41,62,62,71,62,52,43,52,34,24,680
Cherrybrook,5,285,70,87,88,73,115,138,140,228,195,196,120,184,76,58,2050
Kellyville,11,372,120,138,135,149,202,264,303,384,318,292,195,282,110,122,3388
Dural - Kenthurst - Wisemans Ferry,7,204,86,121,100,109,167,181,198,225,186,146,80,148,84,138,2186
Galston - Laughtondale,0,54,18,35,26,35,41,52,43,47,40,48,18,30,20,29,524
Bilpin - Colo - St Albans,0,22,9,21,26,19,27,24,29,21,11,12,8,14,0,33,282
Kurrajong Heights - Ebenezer,15,176,86,153,142,166,223,268,296,263,191,166,88,107,32,193,2562
Pitt Town - McGraths Hill,7,97,30,62,74,70,143,140,147,166,105,97,56,74,25,80,1373
