SA2,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable,Total
Corangamite - North,43,75,21,57,56,29,6,34,3,0,162,490
Corangamite - South,124,92,29,53,61,43,3,77,0,0,208,691
Otway,41,52,17,36,29,9,0,38,5,0,106,334
Moyne - East,102,129,19,65,84,35,0,37,3,3,201,688
Moyne - West,99,219,50,107,127,55,4,79,0,0,285,1022
Warrnambool - North,127,574,118,309,355,202,6,148,0,12,760,2622
Warrnambool - South,101,350,69,185,172,110,3,106,7,9,436,1557
Migratory - Offshore - Shipping (Vic.),0,0,0,0,0,0,0,0,0,0,0,0
No Usual Address (Vic.),32,134,29,73,71,34,10,41,5,0,855,1271
Alexandra Hills,154,399,95,272,464,146,20,101,16,11,594,2279
Belmont - Gumdale,81,230,25,56,203,68,0,22,0,7,188,883
Birkdale,137,378,57,207,378,122,18,63,11,12,425,1812
Capalaba,178,403,106,242,501,168,26,132,8,8,572,2344
Thorneside,34,109,18,59,96,44,10,21,4,0,127,523
Wellington Point,132,299,45,126,286,81,3,43,3,4,292,1314
Cleveland,120,293,42,152,266,92,11,65,13,6,408,1464
Ormiston,51,147,17,72,97,36,3,17,0,4,134,579
Redland Bay,172,359,78,213,403,145,10,82,15,12,537,2034
Sheldon - Mount Cotton,127,309,40,132,280,70,5,28,13,3,241,1255
Thornlands,154,373,72,190,403,118,14,66,11,7,403,1799
Victoria Point,109,237,77,236,298,98,6,68,4,4,414,1558
Redland Islands,27,72,20,72,49,31,6,39,3,5,358,677
Brisbane Port - Lytton,0,0,0,0,0,0,0,0,0,0,0,0
Manly - Lota,87,204,25,68,155,44,11,35,8,5,227,871
Manly West,145,385,65,148,294,85,23,49,12,8,369,1579
Murarrie,83,156,28,64,123,29,4,28,7,3,160,686
Tingalpa,123,311,43,138,292,82,10,35,10,4,294,1341
Wakerley,152,469,34,121,311,72,7,19,6,6,325,1525
Wynnum,158,402,58,173,308,103,22,65,13,4,460,1765
Wynnum West - Hemmant,160,435,79,238,446,134,37,116,17,3,540,2208
Bald Hills,103,249,45,120,233,79,15,40,6,3,266,1165
Bridgeman Downs,91,281,32,62,149,36,0,7,3,4,197,858
Carseldine,91,355,42,115,229,71,3,29,9,9,270,1224
Everton Park,137,443,59,167,252,79,14,32,9,4,306,1497
McDowall,73,346,22,87,179,50,0,18,13,4,195,995
Aspley,125,422,41,154,284,78,19,41,7,5,345,1535
Chermside,132,401,61,160,225,112,13,63,11,9,479,1657
Chermside West,80,254,26,81,149,52,0,23,6,5,180,864
Geebung,66,160,22,72,141,32,9,25,4,5,116,650
Kedron - Gordon Park,278,833,96,190,381,102,3,61,22,13,552,2521
Stafford,109,361,32,119,191,63,6,29,7,4,291,1211
Stafford Heights,71,318,30,78,160,37,0,17,6,0,218,941
Wavell Heights,184,530,40,137,264,90,3,34,14,9,326,1641
Boondall,90,247,51,152,233,73,17,63,10,5,337,1271
Brisbane Airport,0,3,0,0,5,0,0,0,0,0,11,23
Eagle Farm - Pinkenba,21,24,3,4,30,10,7,4,0,0,46,151
Northgate - Virginia,121,338,32,117,235,41,9,29,5,5,247,1190
Nudgee - Banyo,132,400,58,122,308,90,9,68,8,6,350,1547
Nundah,222,734,79,250,439,148,16,90,26,6,584,2588
Bracken Ridge,178,527,77,295,480,134,28,96,16,7,630,2473
Brighton (Qld),119,364,46,121,251,68,9,37,13,4,282,1306
Deagon,40,127,16,48,96,32,3,24,0,0,133,526
Sandgate - Shorncliffe,65,206,19,74,110,32,9,19,7,0,193,739
Taigum - Fitzgibbon,126,453,80,254,400,113,15,97,10,10,602,2171
Zillmere,94,255,54,179,250,80,15,64,11,3,522,1537
Camp Hill,227,675,51,106,283,71,7,21,14,0,366,1843
Cannon Hill,92,307,33,78,172,38,11,47,4,4,277,1062
Carina,174,587,56,159,349,89,10,55,17,6,385,1871
Carina Heights,114,338,29,98,193,76,9,36,8,3,275,1174
Carindale,167,551,45,123,262,81,8,25,11,5,407,1687
Annerley,158,809,75,183,267,105,7,59,11,0,616,2292
Coorparoo,274,1081,91,276,459,148,11,71,16,5,615,3045
Fairfield - Dutton Park,70,283,25,57,107,36,0,20,0,4,245,844
Greenslopes,169,675,71,166,261,87,5,59,9,8,400,1907
Holland Park,135,493,35,104,180,55,6,26,6,4,319,1361
Holland Park West,97,410,32,90,154,42,7,27,6,4,215,1074
Woolloongabba,83,314,30,92,128,27,3,41,11,8,348,1076
Yeronga,151,530,38,120,201,55,4,26,3,0,337,1467
Eight Mile Plains,172,594,79,219,350,146,3,122,15,13,861,2559
Macgregor (Qld),48,169,23,91,86,57,7,50,7,3,331,874
Mansfield (Qld),75,307,36,109,179,55,9,26,9,0,338,1145
Mount Gravatt,200,799,51,219,379,128,12,62,11,5,630,2489
Rochedale - Burbank,80,291,24,69,171,49,0,14,8,10,243,968
Upper Mount Gravatt,99,399,38,101,192,86,4,43,16,7,475,1466
Wishart,109,421,40,140,237,73,4,46,5,6,404,1490
Coopers Plains,49,177,21,97,117,40,11,60,0,0,346,927
Moorooka,167,608,65,146,230,65,11,42,15,5,439,1791
Robertson,35,164,10,61,67,45,8,50,4,6,318,764
Salisbury - Nathan,103,357,36,99,167,44,3,41,7,6,268,1134
Tarragindi,164,620,50,103,229,57,0,17,8,4,318,1579
Algester,72,264,54,146,255,77,20,52,7,11,379,1339
Calamvale - Stretton,214,857,99,319,556,246,29,148,26,12,1300,3802
Pallara - Willawong,55,183,28,91,145,44,10,19,10,6,189,783
Parkinson - Drewvale,172,600,67,234,530,151,15,86,17,6,657,2529
Rocklea - Acacia Ridge,66,198,40,159,183,66,17,77,7,3,566,1385
Kuraby,82,280,33,99,148,57,6,28,6,5,462,1209
Runcorn,134,469,62,244,327,155,14,160,15,12,999,2596
Sunnybank,58,236,48,172,131,86,5,114,4,5,572,1429
Sunnybank Hills,173,524,89,263,382,168,24,138,14,11,1029,2809
Jindalee - Mount Ommaney,92,283,33,78,176,49,5,24,7,4,201,953
Middle Park - Jamboree Heights,73,271,43,86,173,52,10,23,9,3,240,983
Riverhills,60,172,27,79,141,33,8,14,7,0,155,677
Seventeen Mile Rocks - Sinnamon Park,114,440,36,120,207,76,0,9,10,6,274,1293
Westlake,39,142,8,27,89,28,3,3,0,3,105,456
Bellbowrie - Moggill,122,404,41,129,238,71,5,25,14,4,327,1370
Brookfield - Kenmore Hills,58,187,10,38,71,13,0,7,0,3,155,549
Chapel Hill,115,455,37,72,160,45,3,15,6,3,344,1239
Fig Tree Pocket,34,161,10,20,52,14,0,0,0,5,122,426
Kenmore,110,411,33,75,137,51,0,8,7,4,247,1087
Pinjarra Hills - Pullenvale,68,189,17,31,77,16,3,7,6,0,110,524
Chelmer - Graceville,75,387,27,61,135,35,3,7,8,4,220,957
Corinda,51,230,12,44,97,21,3,11,6,0,163,646
Indooroopilly,128,571,38,132,185,83,3,30,18,10,649,1837
Sherwood,92,287,22,70,119,46,3,13,3,4,208,870
St Lucia,68,374,19,50,90,37,3,48,8,6,785,1491
Taringa,117,578,37,112,155,55,0,27,9,0,429,1534
Enoggera,126,469,37,125,211,62,8,24,11,5,317,1395
Enoggera Reservoir,0,0,0,0,0,0,0,0,0,0,4,7
Keperra,51,297,37,115,154,47,5,16,3,6,285,1023
Mitchelton,146,468,44,116,214,65,8,35,6,5,316,1421
Mount Coot-tha,0,0,0,0,0,0,0,0,0,0,0,0
The Gap,170,709,59,156,314,76,5,28,12,7,443,1978
Upper Kedron - Ferny Grove,117,395,39,160,287,59,0,18,5,9,353,1439
Brisbane City,158,496,60,167,202,79,0,142,5,6,780,2090
Fortitude Valley,171,459,52,197,240,107,9,82,13,11,524,1853
Highgate Hill,93,377,35,96,112,41,0,32,10,4,321,1111
Kangaroo Point,136,521,41,137,221,79,4,85,10,6,416,1663
New Farm,294,951,58,182,330,129,8,47,16,11,623,2644
South Brisbane,113,459,49,145,142,71,6,49,10,4,514,1568
Spring Hill,79,297,43,136,133,43,0,158,10,9,488,1393
West End,184,682,51,112,206,73,10,28,10,11,542,1912
Balmoral,90,234,16,44,108,36,3,8,6,6,168,722
Bulimba,171,380,27,74,158,61,0,14,9,10,298,1197
East Brisbane,94,370,39,107,154,38,6,44,8,6,262,1134
Hawthorne,108,293,27,56,111,50,3,7,7,3,180,851
Morningside - Seven Hills,295,909,83,220,422,139,8,75,18,20,569,2750
Norman Park,124,413,25,71,187,44,7,13,8,5,231,1130
Albion,54,199,18,45,90,26,0,16,0,0,131,594
Alderley,113,391,28,85,159,50,0,23,11,9,196,1059
Ascot,84,220,20,51,99,50,4,12,10,0,183,745
Clayfield,187,539,55,163,289,89,7,60,13,0,464,1871
Grange,69,240,13,48,110,24,5,8,0,4,127,648
Hamilton (Qld),139,306,25,69,171,77,3,15,10,4,324,1130
Hendra,97,176,14,35,86,32,3,16,5,6,148,618
Kelvin Grove - Herston,109,523,49,116,170,62,9,46,3,3,733,1824
Newmarket,56,289,30,68,116,30,3,27,6,9,193,823
Newstead - Bowen Hills,343,904,57,168,354,143,5,41,21,11,652,2700
Wilston,60,231,17,38,81,33,3,10,7,3,120,608
Windsor,118,494,48,130,199,70,8,35,8,10,280,1405
Wooloowin - Lutwyche,151,570,39,137,287,90,6,63,9,7,436,1789
Ashgrove,184,722,40,98,245,71,4,27,15,3,397,1802
Auchenflower,95,409,19,54,113,37,0,23,6,3,249,1004
Bardon,173,551,35,74,163,42,4,17,10,0,294,1362
Paddington - Milton,253,794,55,151,282,93,3,22,11,5,416,2097
Red Hill (Qld),133,389,34,72,148,54,0,17,4,3,272,1129
Toowong,156,746,52,139,237,69,0,29,8,5,559,2004
Brinsmead,66,206,27,80,137,50,9,21,3,4,192,785
Clifton Beach - Kewarra Beach,108,294,56,191,209,113,14,48,10,9,422,1471
Freshwater - Stratford,34,169,17,51,68,26,11,9,0,0,134,520
Redlynch,121,471,53,248,315,117,9,52,8,5,447,1855
Trinity Beach - Smithfield,143,478,85,319,328,169,12,72,15,7,582,2202
Yorkeys Knob - Machans Beach,58,169,33,120,92,52,8,36,3,4,269,847
Bentley Park,76,193,41,164,256,90,11,66,8,0,409,1316
Cairns City,119,366,74,315,175,134,8,109,10,13,827,2153
Earlville - Bayview Heights,65,216,43,102,196,80,3,55,7,0,305,1068
Edmonton,79,203,47,241,290,116,15,73,16,0,537,1624
Gordonvale - Trinity,77,218,36,151,181,69,5,41,4,8,338,1118
Kanimbla - Mooroobool,91,279,53,187,205,120,6,48,9,4,434,1428
Lamb Range,0,0,0,0,0,0,0,0,0,0,0,0
Manoora,40,89,26,123,104,69,6,59,3,8,507,1038
Manunda,33,95,20,114,82,35,5,58,0,0,383,825
Mount Sheridan,81,245,38,164,228,83,5,35,8,4,329,1222
Westcourt - Bungalow,66,154,34,127,77,60,3,62,3,7,408,1005
White Rock,44,87,32,93,104,46,5,31,3,0,263,708
Whitfield - Edge Hill,79,292,36,133,155,63,0,46,6,3,272,1091
Woree,40,78,19,68,80,55,3,46,3,0,285,687
Babinda,26,68,24,45,62,33,3,33,3,0,143,440
Innisfail,55,132,31,114,98,45,4,114,0,5,477,1079
Johnstone,70,101,28,89,139,69,10,75,0,3,294,875
Tully,80,125,40,102,135,71,15,164,4,5,406,1151
Wooroonooran,0,0,0,0,0,0,0,0,0,0,0,0
Yarrabah,6,20,0,25,12,3,0,14,0,3,217,305
Daintree,60,98,36,108,105,51,3,46,11,3,267,777
Port Douglas,100,83,39,152,77,87,0,55,0,3,240,827
Atherton,63,201,49,142,174,79,7,57,6,3,386,1161
Herberton,29,39,17,44,43,31,8,32,4,0,264,500
Kuranda,39,89,16,50,58,24,10,18,0,0,187,492
Malanda - Yungaburra,64,140,26,90,112,50,3,41,5,0,254,787
Mareeba,82,160,41,174,174,59,6,123,0,4,490,1310
Balonne,67,96,12,60,86,36,10,29,0,0,161,548
Chinchilla,77,158,41,88,146,68,16,63,0,9,447,1113
Goondiwindi,54,171,33,98,151,64,4,44,3,0,246,866
Inglewood - Waggamba,46,42,9,50,59,21,14,57,4,3,164,467
Miles - Wandoan,42,62,12,52,84,28,12,44,0,0,172,504
Roma,62,232,34,115,206,61,8,51,0,0,307,1081
Roma Region,115,88,19,62,110,40,8,47,5,0,180,668
Tara,33,36,11,38,34,8,4,28,0,0,226,423
Crows Nest - Rosalie,74,112,30,92,103,30,3,53,0,5,335,841
Jondaryan,62,72,38,86,108,49,10,127,3,0,278,834
Millmerran,28,32,9,32,34,19,6,52,0,0,141,352
Pittsworth,47,85,29,42,108,28,11,57,3,0,175,585
Wambo,126,335,78,189,371,123,21,128,4,8,709,2093
Clifton - Greenmount,44,84,18,50,81,35,3,27,0,0,185,531
Southern Downs - East,21,48,28,43,64,32,5,39,3,0,125,401
Southern Downs - West,39,50,18,35,52,23,4,33,0,6,159,407
Stanthorpe,30,68,20,63,83,39,0,71,0,8,196,575
Stanthorpe Region,55,63,12,51,68,27,3,63,0,0,200,553
Warwick,67,225,63,190,200,125,26,130,7,4,605,1646
Central Highlands - East,86,112,42,78,108,60,57,84,3,0,479,1113
Central Highlands - West,98,128,39,79,145,46,18,99,6,12,373,1039
Emerald,105,346,73,186,352,189,35,126,3,7,767,2183
Berserker,43,114,28,110,111,72,8,65,5,3,347,892
Bouldercombe,14,29,11,26,36,11,5,15,0,0,67,214
Emu Park,30,61,24,74,70,41,5,40,0,0,228,573
Frenchville - Mount Archer,72,224,47,111,232,79,9,55,4,7,308,1146
Glenlee - Rockyview,31,121,27,47,129,32,7,20,0,0,103,515
Gracemere,95,246,52,220,285,121,27,83,9,4,633,1775
Lakes Creek,23,82,25,72,103,47,3,74,5,0,232,660
Mount Morgan,12,22,3,26,22,11,4,15,0,0,158,273
Norman Gardens,81,299,47,184,242,93,14,92,6,0,390,1435
Park Avenue,32,80,20,85,109,50,6,53,4,3,217,658
Parkhurst - Kawana,47,168,26,124,157,63,4,70,9,0,286,947
Rockhampton - West,36,154,27,89,130,36,9,33,4,0,246,763
Rockhampton City,21,58,9,35,38,21,4,25,0,0,158,374
Rockhampton Region - East,25,40,17,42,52,20,3,15,0,0,115,338
Rockhampton Region - North,45,65,23,47,65,24,3,29,0,0,137,439
Rockhampton Region - West,33,57,10,22,41,18,7,26,6,8,107,328
Shoalwater Bay,0,0,0,0,0,0,0,0,0,0,0,0
The Range - Allenstown,60,274,23,99,130,39,4,26,6,3,259,927
Yeppoon,138,414,103,284,317,143,34,72,11,10,618,2139
Banana,128,136,39,86,156,66,30,75,4,5,317,1042
Biloela,40,136,33,78,130,58,15,87,0,4,242,819
Agnes Water - Miriam Vale,32,66,24,65,48,43,7,35,0,4,235,564
Boyne Island - Tannum Sands,69,232,54,163,186,89,22,70,6,3,519,1420
Callemondah,0,0,0,0,0,0,0,0,0,0,0,0
Clinton - New Auckland,103,332,80,230,275,157,37,114,7,8,871,2214
Gladstone,60,98,37,57,80,44,14,46,3,4,394,833
Gladstone Hinterland,86,213,75,158,208,95,28,95,8,10,619,1589
Kin Kora - Sun Valley,26,70,35,64,66,42,18,24,0,0,183,538
South Trees,0,0,0,0,0,0,0,0,0,0,0,0
Telina - Toolooa,53,148,43,82,150,58,18,51,0,0,380,993
West Gladstone,39,95,18,59,72,37,10,29,5,0,279,638
Broadbeach Waters,115,214,31,94,174,83,4,18,3,4,245,985
Burleigh Heads,121,359,40,152,163,102,0,46,12,0,351,1351
Burleigh Waters,193,471,48,243,334,154,4,30,8,6,391,1891
Mermaid Beach - Broadbeach,215,433,68,311,295,152,3,84,19,9,574,2166
Mermaid Waters,127,363,73,186,263,137,15,65,8,8,469,1705
Miami,122,339,43,148,197,100,5,32,12,8,283,1285
Coolangatta,62,167,20,105,73,68,8,21,3,0,223,758
Currumbin - Tugun,115,405,60,203,192,118,9,59,4,9,433,1609
Currumbin Waters,85,220,42,133,173,74,8,39,6,0,266,1047
Elanora,95,325,37,168,215,122,5,45,4,3,394,1408
Palm Beach,216,523,88,277,284,163,22,51,13,9,593,2233
Arundel,101,249,56,123,174,92,8,53,12,8,422,1301
Biggera Waters,98,224,44,137,181,99,0,46,4,3,457,1299
Coombabah,79,149,47,164,204,99,4,67,3,7,391,1214
Labrador,123,412,97,316,302,174,17,124,12,14,1005,2596
Paradise Point - Hollywell,122,203,39,88,195,61,5,20,5,0,262,1008
Runaway Bay,84,161,31,95,153,66,5,33,3,5,248,885
Guanaba - Springbrook,46,91,20,59,82,24,10,14,0,4,228,583
Tamborine - Canungra,140,312,72,148,229,76,15,52,8,8,460,1523
Currumbin Valley - Tallebudgera,58,187,34,94,107,40,9,24,4,7,218,783
Mudgeeraba - Bonogin,192,556,97,293,381,164,19,79,16,4,673,2478
Reedy Creek - Andrews,113,312,42,140,198,78,6,29,6,4,302,1231
Carrara,132,324,48,158,285,133,22,64,14,13,435,1613
Highland Park,81,185,57,153,163,107,0,62,7,14,298,1115
Nerang - Mount Nathan,200,420,135,341,479,220,22,161,20,14,834,2843
Pacific Pines - Gaven,210,508,110,370,497,224,26,107,23,15,897,2994
Worongary - Tallai,72,193,32,89,142,55,12,12,7,0,253,878
Coomera,166,328,73,244,349,176,26,84,9,5,835,2297
Helensvale,168,387,79,248,382,169,12,56,17,3,552,2077
Hope Island,141,237,31,107,218,86,8,29,7,4,374,1238
Jacobs Well - Alberton,30,32,21,53,97,31,4,26,0,0,109,412
Ormeau - Yatala,214,592,102,340,628,196,23,110,17,15,873,3119
Oxenford - Maudsland,178,407,87,307,475,184,16,82,10,4,648,2404
Pimpama,117,203,63,188,242,106,31,59,5,4,698,1718
Upper Coomera - Willow Vale,386,825,171,645,914,399,62,212,42,31,1590,5277
Clear Island Waters,50,83,11,34,64,29,0,4,0,3,116,394
Merrimac,74,180,42,165,174,86,3,55,13,7,277,1070
Robina,278,613,97,339,470,247,12,73,15,8,931,3074
Varsity Lakes,201,459,108,262,362,188,14,77,15,9,783,2480
Ashmore,119,306,48,170,251,109,9,40,0,9,438,1506
Molendinar,84,170,27,112,116,70,0,30,5,5,265,881
Parkwood,74,216,25,117,162,65,10,39,7,5,336,1048
Southport - North,129,369,99,270,222,142,14,113,10,4,955,2317
Southport - South,158,439,91,298,286,154,9,105,14,16,851,2418
Benowa,79,214,35,88,146,62,0,17,6,7,305,958
Bundall,65,101,15,47,105,43,3,18,4,9,154,559
Main Beach,53,131,10,45,43,36,0,6,0,0,157,485
Surfers Paradise,246,410,142,550,340,333,15,335,18,20,1520,3937
Darra - Sumner,38,137,44,97,89,39,11,42,5,7,325,828
Durack,56,185,26,144,115,54,16,74,13,4,473,1164
Forest Lake - Doolandella,266,875,135,546,692,252,48,190,27,17,1319,4372
Inala - Richlands,67,164,56,340,193,97,45,184,6,17,1381,2560
Oxley (Qld),106,414,35,120,205,60,4,33,13,5,329,1321
Wacol,13,28,12,38,32,16,4,21,0,0,447,613
Boonah,101,146,58,140,225,63,9,123,3,10,427,1306
Esk,27,64,18,30,52,27,3,28,0,0,204,455
Lake Manchester - England Creek,0,0,0,0,0,0,0,0,0,0,0,0
Lockyer Valley - East,145,277,102,246,279,142,22,140,8,8,937,2300
Lowood,89,190,59,190,246,90,22,115,3,5,686,1706
Rosewood,82,161,57,177,210,78,12,76,5,3,430,1302
Brassall,101,239,46,203,224,103,19,70,14,0,541,1562
Bundamba,65,134,37,134,173,87,23,75,10,8,501,1233
Churchill - Yamanto,41,140,34,139,189,69,13,34,5,4,338,1011
Ipswich - Central,45,188,23,71,101,38,10,26,4,0,304,810
Ipswich - East,121,360,65,265,322,155,23,118,13,6,932,2382
Ipswich - North,40,113,20,70,141,22,6,17,5,3,143,587
Karalee - Barellan Point,71,175,27,67,143,40,9,16,7,4,152,703
Karana Downs,72,222,21,78,133,44,5,26,3,0,195,798
Leichhardt - One Mile,36,94,24,114,107,65,17,58,3,0,579,1102
North Ipswich - Tivoli,50,113,41,102,116,60,11,34,3,0,320,852
Raceview,97,335,65,309,373,164,28,113,10,7,722,2219
Ripley,55,153,22,109,170,52,3,24,4,0,208,809
Riverview,9,24,6,37,38,14,4,27,0,0,214,365
Bellbird Park - Brookwater,184,539,77,265,452,149,31,59,13,10,652,2423
Camira - Gailes,75,153,51,141,242,84,16,60,11,5,402,1230
Carole Park,0,0,0,0,0,0,0,0,0,0,0,0
Collingwood Park - Redbank,76,134,41,143,190,74,13,81,9,4,471,1241
Goodna,49,136,57,182,194,73,26,126,14,15,781,1648
New Chum,0,0,0,0,0,0,0,0,0,0,0,0
Redbank Plains,133,272,85,391,431,216,80,183,20,20,1297,3130
Springfield,77,204,44,147,212,65,12,47,8,0,307,1126
Springfield Lakes,258,682,90,353,623,193,28,92,23,16,847,3201
Beaudesert,85,176,64,161,201,104,18,111,4,3,640,1566
Beenleigh,53,100,34,123,129,61,20,80,7,5,497,1105
Eagleby,65,120,47,195,156,103,34,127,13,3,845,1702
Edens Landing - Holmview,64,156,43,120,190,84,16,77,8,3,442,1215
Mount Warren Park,53,84,20,97,146,65,13,32,7,6,267,781
Wolffdene - Bahrs Scrub,56,141,34,93,165,59,3,26,5,3,221,809
Boronia Heights - Park Ridge,94,157,47,153,280,115,34,77,12,13,601,1584
Browns Plains,56,126,21,128,160,83,24,80,7,6,467,1160
Chambers Flat - Logan Reserve,50,80,30,70,100,46,6,33,0,0,228,644
Crestmead,70,136,45,211,261,113,50,113,11,10,814,1836
Greenbank Military Camp,0,0,0,0,0,0,0,0,0,0,0,0
Hillcrest,70,157,39,145,197,86,24,60,14,4,345,1137
Marsden,103,150,49,263,250,131,65,138,12,5,1042,2211
Munruben - Park Ridge South,43,69,22,48,120,36,7,20,3,6,142,511
Regents Park - Heritage Park,144,287,70,273,436,154,53,141,6,11,755,2343
Greenbank,128,295,71,180,412,109,26,53,14,3,468,1756
Jimboomba,255,545,144,450,818,246,38,147,22,16,1072,3741
Logan Village,72,114,32,75,168,64,4,29,6,3,262,829
Bethania - Waterford,88,244,53,200,260,95,27,64,11,0,513,1549
Cornubia - Carbrook,99,237,37,123,216,60,8,22,7,0,230,1040
Loganholme - Tanah Merah,102,291,68,196,367,133,19,65,16,10,470,1737
Loganlea,58,168,39,177,204,67,28,77,9,5,692,1527
Shailer Park,132,368,43,148,317,110,13,39,12,6,405,1597
Waterford West,33,94,29,117,142,62,24,60,9,4,431,1001
Daisy Hill,73,246,34,98,172,59,9,33,5,0,250,980
Kingston (Qld.),41,91,29,126,108,60,28,92,8,9,752,1346
Logan Central,16,36,18,53,68,31,3,44,0,3,505,777
Rochedale South - Priestdale,156,614,76,231,457,125,22,87,10,13,598,2389
Slacks Creek,66,173,35,162,208,63,14,93,7,5,667,1499
Springwood,91,289,46,115,263,78,15,39,6,6,396,1345
Underwood,73,235,25,93,180,60,4,29,8,8,373,1094
Woodridge,42,93,34,179,126,70,17,126,7,3,1069,1764
Bowen,62,130,32,117,136,64,18,164,3,3,409,1142
Broadsound - Nebo,82,128,53,98,136,58,73,92,4,3,518,1244
Clermont,57,71,25,49,66,21,28,40,4,0,180,546
Collinsville,36,31,19,25,49,16,13,58,0,5,154,398
Moranbah,92,244,68,128,210,67,77,85,3,7,602,1592
Andergrove - Beaconsfield,119,348,76,236,373,164,34,91,10,11,667,2119
East Mackay,28,95,18,35,66,41,6,25,4,0,139,452
Eimeo - Rural View,129,390,64,207,278,157,38,79,8,7,643,1999
Eungella Hinterland,0,0,0,0,0,0,0,0,0,0,0,0
Mackay,27,100,14,53,37,24,13,37,0,0,247,558
Mackay Harbour,7,18,4,6,10,7,0,6,0,0,24,68
Mount Pleasant - Glenella,90,316,44,120,249,85,18,54,7,0,360,1356
North Mackay,47,110,38,80,89,61,20,38,0,5,276,767
Ooralea - Bakers Creek,28,136,27,59,112,53,16,36,3,0,234,705
Pioneer Valley,56,158,48,116,174,72,27,58,11,7,419,1147
Sarina,60,152,51,137,216,97,53,88,5,5,557,1420
Seaforth - Calen,65,114,29,80,131,50,28,31,3,0,290,825
Shoal Point - Bucasia,49,132,22,90,125,72,15,49,0,6,296,863
Slade Point,29,54,22,46,49,35,9,30,0,0,155,425
South Mackay,45,131,33,105,137,66,18,70,3,5,296,900
Walkerston - Eton,50,152,45,87,209,76,32,48,3,3,301,1015
West Mackay,38,180,37,74,111,47,11,31,0,0,244,777
Airlie - Whitsundays,222,263,109,289,297,192,30,150,9,9,714,2284
Cape Conway,0,0,0,0,0,0,0,0,0,0,0,0
Proserpine,61,126,44,115,178,62,13,57,0,0,286,943
Beachmere - Sandstone Point,91,157,51,183,201,100,19,70,9,9,586,1470
Bribie Island,82,178,44,174,131,89,9,58,0,4,468,1238
Burpengary - East,30,83,23,46,123,29,0,16,0,0,124,467
Caboolture,170,361,113,437,423,230,41,307,25,10,1548,3667
Caboolture - South,134,226,83,351,363,200,38,210,19,9,1401,3025
Elimbah,38,73,15,53,99,34,3,29,5,0,141,496
Morayfield - East,70,110,38,159,133,100,17,94,5,0,467,1201
Wamuran,38,56,19,49,106,34,0,43,5,3,114,471
Kilcoy,30,64,19,57,51,19,3,103,0,0,226,578
Woodford - D'Aguilar,48,84,38,104,131,48,7,57,3,0,283,810
Burpengary,115,229,62,225,332,144,18,89,6,9,564,1781
Deception Bay,133,299,67,344,360,164,35,146,10,16,1168,2738
Morayfield,24,79,21,43,109,33,5,17,5,0,131,474
Narangba,225,485,97,345,582,173,24,104,22,7,776,2829
Upper Caboolture,20,55,13,51,76,15,0,13,0,3,93,334
Clontarf,63,176,46,122,178,67,6,54,9,5,306,1031
Margate - Woody Point,82,238,51,160,221,81,14,55,20,7,539,1469
Redcliffe,65,187,27,126,159,60,9,42,10,6,423,1114
Rothwell - Kippa-Ring,121,276,71,267,308,145,21,106,8,16,751,2086
Scarborough - Newport - Moreton Island,105,245,39,126,217,85,8,38,0,9,372,1243
Albany Creek,171,503,65,206,368,96,10,40,15,3,392,1876
Cashmere,247,676,115,332,626,158,13,56,18,12,621,2882
Dayboro,99,236,45,93,178,56,4,39,14,10,272,1031
Eatons Hill,101,283,39,98,251,49,5,17,9,3,218,1070
The Hills District,303,1092,122,340,659,172,13,76,30,6,665,3472
Samford Valley,137,389,32,91,187,45,7,12,7,8,321,1232
Dakabin - Kallangur,212,488,142,467,656,254,45,171,23,15,1264,3730
Murrumba Downs - Griffin,253,518,97,304,572,200,33,104,18,10,806,2906
North Lakes - Mango Hill,392,1072,179,599,890,397,44,136,32,15,1559,5309
Bray Park,94,215,64,213,292,97,15,64,5,3,440,1496
Lawnton,52,127,41,110,165,63,12,42,4,5,258,863
Petrie,75,235,66,148,250,84,9,42,7,5,336,1257
Strathpine - Brendale,103,214,61,235,337,127,27,72,10,4,596,1783
Aurukun,0,6,9,18,0,7,0,10,0,0,136,182
Cape York,46,115,14,102,80,23,13,51,8,7,485,936
Croydon - Etheridge,17,11,11,11,19,4,0,14,0,0,56,139
Kowanyama - Pormpuraaw,7,11,5,35,16,4,0,13,0,0,181,274
Northern Peninsula,23,36,10,65,44,17,3,16,0,0,183,392
Tablelands,47,56,13,57,54,20,0,49,0,5,181,487
Torres,34,103,11,74,91,21,3,27,0,11,229,605
Torres Strait Islands,18,48,4,59,46,29,0,18,0,3,371,587
Weipa,32,130,33,68,86,23,83,29,4,0,179,674
Carpentaria,29,73,21,95,51,18,5,40,4,10,350,690
Mount Isa,152,546,129,317,404,167,115,129,11,9,989,2972
Mount Isa Region,39,55,14,43,74,22,11,28,0,0,147,441
Northern Highlands,77,38,19,25,54,18,9,35,3,0,111,381
Barcaldine - Blackall,77,84,19,65,81,41,9,56,0,8,143,581
Charleville,57,103,21,61,80,30,3,44,0,9,144,546
Far Central West,31,21,19,26,37,16,8,31,4,0,77,256
Far South West,44,41,18,28,56,17,3,31,3,7,83,329
